brand,type,price,available,sold,target
65,28,43.99,2.0,393.0,0
35,28,79.99,5.0,40.0,0
298,28,59.99,10.0,35.0,0
33,28,59.99,10.0,9.0,0
201,28,29.99,10.0,0.0,0
362,28,51.99,8.0,184.0,0
33,28,58.99,10.0,18.0,0
357,40,52.79,6.0,258.0,0
357,40,29.99,10.0,251.0,0
214,28,22.75,10.0,174.0,0
369,28,39.99,10.0,77.0,0
153,28,64.99,10.0,35.0,0
65,28,60.99,2.0,51.0,0
65,28,43.49,2.0,20.0,0
82,28,29.2,10.0,505.0,0
154,28,13.0,10.0,94.0,0
290,28,39.69,10.0,234.0,0
237,28,59.99,6.0,34.0,0
35,28,59.99,10.0,43.0,0
99,28,11.0,10.0,1613.0,0
302,93,27.0,10.0,218.0,0
371,99,29.99,10.0,1.0,0
349,28,16.27,300.0,38.0,0
367,28,54.95,10.0,25.0,0
65,28,49.99,6.0,183.0,0
279,28,84.99,4.0,71.0,0
369,28,39.99,8.0,126.0,0
101,40,53.99,10.0,54.0,0
124,28,99.99,4.0,29.0,0
192,28,40.92,10.0,1571.0,0
92,40,22.9,10.0,291.0,0
362,28,42.0,4.0,406.0,0
143,28,44.88,7.0,147.0,0
298,28,66.99,10.0,3.0,0
312,28,129.99,5.0,37.0,0
35,28,22.99,10.0,11.0,0
279,75,12.0,10.0,59.0,0
237,40,32.95,10.0,68.0,0
26,28,31.05,9.0,54.0,0
357,40,32.2,60.0,157.0,0
324,62,17.9,10.0,4.0,0
202,28,29.75,9.0,80.0,0
102,21,19.99,10.0,441.0,0
65,28,43.99,2.0,16.0,0
65,28,59.99,2.0,21.0,0
237,40,42.88,10.0,71.0,0
279,28,100.99,10.0,49.0,0
192,28,26.05,10.0,128.0,0
35,28,54.99,5.0,60.0,0
65,28,49.99,6.0,179.0,0
362,28,47.49,2.0,208.0,0
65,28,43.99,10.0,166.0,0
264,28,32.0,10.0,87.0,0
82,28,31.5,10.0,287.0,0
147,28,42.99,5.0,243.0,0
369,28,98.99,3.0,56.0,0
362,28,42.0,4.0,404.0,0
200,28,39.99,10.0,102.0,0
58,28,27.99,10.0,87.0,0
65,28,42.99,2.0,130.0,0
335,28,43.99,6.0,25.0,0
357,40,15.49,10.0,1089.0,0
214,28,23.25,10.0,19.0,0
102,66,16.26,10.0,110.0,0
369,28,49.68,10.0,25.0,0
153,40,49.99,4.0,41.0,0
101,40,27.9,2.0,118.0,0
369,28,49.99,5.0,15.0,0
191,39,36.79,68.0,1498.0,0
237,40,39.99,10.0,1129.0,0
233,40,48.88,10.0,14.0,0
65,28,55.99,6.0,193.0,0
147,28,42.98,10.0,29.0,0
187,25,15.98,10.0,40.0,0
113,2,19.45,50.0,2.0,0
192,34,49.99,2.0,288.0,0
324,12,20.49,8.0,190.0,0
264,28,31.0,4.0,266.0,0
354,28,24.99,9.0,9.0,0
103,28,19.0,10.0,10.0,0
99,28,14.0,10.0,266.0,0
231,28,34.0,10.0,45.0,0
19,56,49.0,10.0,443.0,0
122,28,54.99,10.0,17.0,0
361,28,30.99,10.0,302.0,0
203,39,16.63,37.0,528.0,0
335,28,60.0,10.0,256.0,0
362,28,42.99,10.0,155.0,0
139,72,19.0,10.0,35.0,0
63,40,25.27,106.0,539.0,0
101,45,29.9,10.0,327.0,0
182,28,20.93,10.0,1484.0,0
29,40,30.98,10.0,12.0,0
357,40,41.5,3.0,255.0,0
202,28,64.99,5.0,4.0,0
26,28,29.99,9.0,57.0,0
237,40,30.79,3.0,493.0,0
369,28,39.99,10.0,66.0,0
79,78,21.27,2.0,61.0,0
349,0,15.89,10.0,434.0,0
355,78,10.99,10.0,94.0,0
145,28,37.88,8.0,108.0,0
101,40,30.95,8.0,245.0,0
185,40,25.23,8.0,909.0,0
64,28,23.88,10.0,5587.0,0
361,62,18.5,6.0,23.0,0
17,39,20.45,110.0,4308.0,0
35,28,59.99,10.0,114.0,0
149,40,12.78,149.0,10268.0,0
298,28,64.99,10.0,123.0,0
26,28,33.99,9.0,89.0,0
101,40,29.99,8.0,187.0,0
355,28,100.99,10.0,47.0,0
278,40,14.75,183.0,1999.0,0
298,28,19.0,10.0,0.0,0
